geo.name,count,latitude,longitude
Barnet,120,51.65309,-0.2002261
Bromley,74,51.4028046,0.0148142
Camberwell,173,51.4745706,-0.0925416
Camden Town,143,51.5423045,-0.1395604
City of London,33,51.5156177,-0.0919983
Croydon,113,51.3713049,-0.101957
Hackney,103,51.5432402,-0.0493621
Hammersmith,45,51.4920377,-0.2236401
Hillingdon,81,51.542519299999995,-0.44833493117949663
Hounslow,69,51.4686132,-0.3613471
Islington,88,51.5384287,-0.0999051
Lambeth,127,51.4952111,-0.1163354
Lewisham,76,51.4624292,-0.0101787
Paddington,91,51.5154795,-0.175365
Poplar,95,51.5110713,-0.0144629
Richmond,50,51.4613531,-0.3032767
Romford,80,51.5760462,0.1822646
Wandsworth,75,51.4570271,-0.1932607
