geo.name,count,latitude,longitude
Barking,19,51.5389922,0.0804245
Barnet,58,51.65309,-0.2002261
Bexley,2,51.4416793,0.150488
Brent,47,51.5639957,-0.27590641378489267
Bromley,37,51.4028046,0.0148142
Camberwell,62,51.4745706,-0.0925416
Camden Town,45,51.5423045,-0.1395604
City of London,9,51.5156177,-0.0919983
Croydon,22,51.3713049,-0.101957
Ealing,22,51.5126553,-0.3051952
Enfield,32,51.6520851,-0.0810175
Greenwich,33,51.4820845,-0.0045417
Hackney,32,51.5432402,-0.0493621
Hammersmith,18,51.4920377,-0.2236401
Harrow,9,51.596827149999996,-0.3373046180437286
Hillingdon,29,51.542519299999995,-0.44833493117949663
Hounslow,22,51.4686132,-0.3613471
Islington,71,51.5384287,-0.0999051
Kensington,62,51.4989948,-0.1991229
Kingston upon Thames,10,51.4096275,-0.3062621
Lambeth,28,51.4952111,-0.1163354
Lewisham,18,51.4624292,-0.0101787
Merton,17,51.41086985,-0.18809708858824303
Paddington,27,51.5154795,-0.175365
Poplar,35,51.5110713,-0.0144629
Richmond,28,51.4613531,-0.3032767
Romford,29,51.5760462,0.1822646
Sutton,15,51.357464449999995,-0.17362689496950337
Wandsworth,11,51.4570271,-0.1932607
