author.name,date,text,geo.coordinates.coordinates,geo.name,hate_pred,borough,latitude,longitude
Raf🇵🇱🇺🇦🇪🇺🇬🇧🏳️‍🌈,2022-12-31 22:30:30+00:00,my biggest wish for      is that putin goes to hell or whenever he can fuck off to ,,Hackney,racism,Hackney,51.5432402,-0.0493621
Jeremy Maw ⭐️⭐️🌏,2022-12-31 20:14:35+00:00,  sorry meant thick spurs twat,,Bromley,sexism,Bromley,51.4028046,0.0148142
Truffles 🇪🇺🇲🇺 🇺🇦,2022-12-31 19:11:24+00:00, if a woman comes here then it s woh you do well nfail,,Barnet,sexism,Barnet,51.65309,-0.2002261
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-31 18:45:46+00:00,there is no such thing as sperm that comes from s female   men produce sperm ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-31 18:22:17+00:00,a penis haver can never be a women ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
David Aaronovitch,2022-12-31 15:16:24+00:00, are women allowed to travel on your trains  drive them  manage them ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Jimmy Hink5on,2022-12-31 14:00:27+00:00,  and most likely i ll be sent to a women s prison   nthe smirk on his face suggests it ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Shak Mancel James,2022-12-31 11:51:19+00:00,if a man can t celebrate a victory by nyamming cake and half fist bumping then i don t wanna be the goat of anything    ,,Lewisham,sexism,Lewisham,51.4624292,-0.0101787
Eva Cohen Steiner,2022-12-31 11:45:55+00:00, no just ignorant ,,Barnet,disability,Barnet,51.65309,-0.2002261
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-31 11:37:09+00:00,twat  ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Dawn Hardy,2022-12-31 11:06:11+00:00, if a woman did that they would be arrested for indeceny   ,,Hounslow,sexism,Hounslow,51.4686132,-0.3613471
Truffles 🇪🇺🇲🇺 🇺🇦,2022-12-31 08:33:57+00:00,china is an infected country ntrying to hide reality since covid hit nso you choose,,Barnet,racism,Barnet,51.65309,-0.2002261
Dorothy Cohen,2022-12-31 07:25:39+00:00, uk s problems will not  go away  in       says sunak in new year message  stlegckv the uks probs were created by the ukgovs deliberate destruction of the econ over a virus  from which many mps got rich from ,,Barnet,racism,Barnet,51.65309,-0.2002261
ToBi,2022-12-31 00:34:01+00:00,men are scum  sarnjr,,Bromley,sexism,Bromley,51.4028046,0.0148142
Dame Carol Ann Chee-Lynch,2022-12-30 23:41:23+00:00,    why in the name of god would we want to return to the mother  fuck r  who stole our country and everything in it and then committed genocide on the irish people  catch yourself on toraidhe,,Barnet,racism,Barnet,51.65309,-0.2002261
Daniel Shane,2022-12-30 22:52:10+00:00, i know sid    defo not a lady      ridiculous generalisation of the human condition  ,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
John Finn / Seán Óg Fionn,2022-12-30 22:08:12+00:00,ouch  chinese corp set up a massachusetts subsidiary to build them   sgra wf,,Richmond,racism,Richmond,51.4613531,-0.3032767
